O,D,Ton
1086,459049,4040
1086,459040,56520
1086,459741,3840
1086,459740,11480
1086,459743,7440
1086,459722,3880
1086,459354,3840
1086,459270,96760
1086,459345,18080
1086,459004,3360
1086,460022,1884640
1086,458970,19920
1086,459688,15560
1086,459677,11280
1086,459703,3600
1086,459409,3720
1086,459580,4321720
1086,459512,2240
1086,459470,7840
1086,459503,10440
1086,459490,651560
1086,459497,970240
1086,459497,240
1086,459480,7120
1086,459508,635480
1086,459475,4040
1086,459661,914560
1086,459576,18840
1086,459550,14320
1086,459604,3800
1086,459488,19000
1086,459490,351680
1086,459490,216640
1086,459490,659560
1086,459490,737800
1086,459497,642240
1086,459498,958640
1086,459498,1163400
1086,459502,1377120
1086,459395,920
1086,459983,3200
1086,459686,246960
1086,459655,3840
1086,459599,7680
1086,459626,3880
1086,459637,7640
1086,458891,25720
2371,459203,4080
2371,459176,4400
2371,459801,4120
2371,459791,69440
2371,459316,34800
2371,460118,3680
2371,459314,4320
2371,459158,241520
2371,459127,47640
2371,459049,4000
2371,459047,3800
2371,458990,7472
2371,459735,8520
2371,459741,78080
2371,459723,13160
2371,459747,35240
2371,459345,3520
2371,460022,3400
2371,459691,3080
2371,459957,3560
2371,459693,41520
2371,459677,2560
2371,459231,24320
2371,459580,247920
2371,459490,29360
2371,459480,7600
2371,459508,640
2371,459488,3240
2371,459526,1400
2371,459490,11280
2371,459498,41560
2371,459983,2880
2371,459686,31120
2371,459633,3880
2371,458933,11160
2371,458891,3360
2579,459181,5320
2579,459176,9600
2579,459810,33660
2579,459801,9504
2579,459791,12240
2579,458988,3600
2579,459316,20960
2579,459127,86280
2579,459270,19300
2579,459341,3640
2579,459688,3720
2579,459693,7996
2579,458959,4320
2579,459703,3040
2579,459419,7560
2579,459416,3800
2579,459580,30992
2579,459569,6880
2579,459502,4640
2579,459512,67432
2579,459503,3320
2579,459497,152840
2579,459508,43800
2579,459471,3880
2579,459576,19760
2579,459533,15680
2579,459484,23996
2579,459490,9640
2579,459490,95120
2579,459497,960
2579,459498,347600
2579,459686,16000
2579,458933,3960
2595,459176,3280
2595,459158,75440
2595,459127,6840
2595,459693,32200
2595,459580,3800
2595,459471,4480
2595,459558,6920
2595,459560,3320
2595,458891,3440
1083,459845,2960
1083,459791,3800
1083,459127,880
1083,459580,1400
1083,459503,7836
2388,459801,3720
2388,459791,2520
2388,459133,28400
2388,459127,17960
2388,460022,35200
2388,459688,3200
2388,459580,2680
2388,459503,6240
2388,459480,6600
2388,459664,4000
2388,459661,10720
2388,459983,3120
2388,458896,3800
2392,459200,3680
2392,459845,3920
2392,459853,2320
2392,459832,22600
2392,459152,8200
2392,459810,3840
2392,459801,317867
2392,459791,18000
2392,458987,4400
2392,459316,487260
2392,460118,3680
2392,459314,175660
2392,459314,380359
2392,460116,76770
2392,459149,291634
2392,459133,11240
2392,459127,357364
2392,459063,20680
2392,459049,19000
2392,458990,2440
2392,459054,3800
2392,459735,388374
2392,459741,356194
2392,459743,3720
2392,459723,509759
2392,459747,55641
2392,459270,63272
2392,459742,4040
2392,459345,3960
2392,459349,3960
2392,459322,30384
2392,459337,8640
2392,459333,148686
2392,459332,150182
2392,460033,84270
2392,460011,4280
2392,458970,4080
2392,459691,3680
2392,459992,86884
2392,459957,256732
2392,459693,92008
2392,459677,76880
2392,459631,3720
2392,459711,4080
2392,459419,3760
2392,459231,369453
2392,459409,3888
2392,459411,14760
2392,459416,7200
2392,459580,133725
2392,459405,7440
2392,459502,11332
2392,459512,71402
2392,459503,64600
2392,459480,13040
2392,459475,22600
2392,459661,16200
2392,459576,36680
2392,459550,14680
2392,459545,4280
2392,459544,28000
2392,459488,83520
2392,459487,11960
2392,459525,76000
2392,459490,760
2392,459490,124560
2392,459498,71400
2392,459260,1640
2392,459958,3576
2392,458964,38040
2392,459961,46340
2392,459649,91200
2392,459655,47920
2392,458948,291065
2392,458937,3920
2392,458933,216221
2392,458927,3600
2392,458930,28276
2392,458891,21380
2392,458914,25080
2369,459176,3200
2369,459801,194520
2369,459316,3400
2369,459136,67120
2369,459133,4040
2369,459128,46400
2369,459040,6400
2369,459057,11400
2369,459329,4160
2369,460011,7880
2369,460022,386120
2369,459703,19760
2369,459580,371240
2369,459490,79840
2369,459497,106120
2369,459508,164160
2369,459593,15200
2369,459604,3800
2369,459488,3760
2369,459490,81400
2369,459497,79240
2369,459498,49920
2369,459498,75320
2369,459502,269720
2369,459686,21600
2369,458964,3200
2369,458933,3680
2394,459888,4960
2394,459766,4920
2394,459813,3840
2394,459197,7760
2394,459181,7144
2394,459801,11244
2394,458988,9324
2394,459314,4400
2394,459314,12084
2394,459173,4308
2394,459149,28416
2394,459133,42600
2394,459127,62292
2394,459064,3440
2394,459329,30080
2394,459349,43400
2394,459337,3680
2394,459332,3640
2394,460036,3336
2394,460011,24036
2394,460011,4320
2394,459691,3720
2394,459992,31440
2394,459677,800
2394,459425,2400
2394,459440,30760
2394,459412,7652
2394,459414,5064
2394,459409,6336
2394,459580,155868
2394,459569,7440
2394,459502,10360
2394,459512,2616
2394,459503,19560
2394,459576,4320
2394,459550,7840
2394,459604,3120
2394,459488,8080
2394,459521,6264
2394,459525,125800
2394,459526,14892
2394,458964,4040
2394,459961,47440
2394,459649,57440
2394,458948,119505
2394,458930,21858
2394,458891,9540
2591,459948,7212
2591,459832,3200
2591,459133,3560
2591,459409,3720
2591,459503,4320
2591,459480,2160
2591,459664,11480
2589,459853,4760
2589,459316,2560
2589,459270,7320
2589,459677,2080
2589,459580,3680
2589,459480,2840
2589,459568,2840
2589,459550,2400
2589,459556,3520
2589,459560,4800
2589,459387,2880
2589,459686,3600
2589,459655,15200
1496,459197,11680
1496,459176,2600
1496,459787,19560
1496,459810,3880
1496,459801,3880
1496,459316,15240
1496,460113,3920
1496,459158,8184
1496,459133,15960
1496,459127,2400
1496,459020,7000
1496,459062,3800
1496,459047,10560
1496,459009,7520
1496,459745,3840
1496,459354,3880
1496,459270,1080
1496,459345,4000
1496,459349,3960
1496,459691,3840
1496,459688,3920
1496,459434,7920
1496,459437,3920
1496,459580,28240
1496,459569,7560
1496,459470,12280
1496,459480,7040
1496,459471,3880
1496,459661,18640
1496,459550,7360
1496,459488,3960
1496,459487,3680
1496,459558,7280
1496,459560,3520
1496,459526,8080
1496,459395,2920
1496,459983,3880
1496,458964,4000
1496,459649,3760
1496,459599,10120
1496,458937,3880
1496,458933,27600
1496,458930,3800
2629,459114,4160
2629,459810,11800
2629,459801,3600
2629,459791,3960
2629,459133,3640
2629,459270,3320
2629,459326,7000
2629,460022,2880
2629,459631,4600
2629,459378,3360
2629,459425,3800
2629,459661,3880
2629,459604,3840
2629,459488,6920
2629,459671,26640
2629,459998,10560
2629,459655,3840
2629,459633,7960
2629,458930,800
2629,458896,8280
1495,459845,3280
1495,459801,10120
1495,459783,7840
1495,459791,4880
1495,459304,30600
1495,459316,7560
1495,459173,2840
1495,459133,10360
1495,459128,10000
1495,459065,11520
1495,459062,15040
1495,459295,12080
1495,459745,7920
1495,459270,7520
1495,459326,3440
1495,459631,7720
1495,459431,3480
1495,459580,128800
1495,459470,3920
1495,459589,20520
1495,459497,17240
1495,459480,3840
1495,459661,86000
1495,459596,3200
1495,459550,22080
1495,459604,3880
1495,459488,21040
1495,459484,10840
1495,459490,40720
1495,459490,271000
1495,459497,20000
1495,459498,191080
1495,459498,75200
1495,459502,84320
1495,459983,6920
1495,459686,2920
1495,458964,4280
1495,459671,3920
1495,458934,11840
1495,458891,3880
1495,458896,3880
1082,459214,4240
1082,459853,31080
1082,459197,3320
1082,459801,37240
1082,459791,116280
1082,459304,3120
1082,459313,39640
1082,459133,3040
1082,459020,8040
1082,459007,4960
1082,459065,3280
1082,459047,6880
1082,459040,19360
1082,459295,10440
1082,459755,3880
1082,459270,14000
1082,459232,8720
1082,459004,2400
1082,459677,7720
1082,460024,8640
1082,460022,4280
1082,459992,3960
1082,459957,3520
1082,459677,6520
1082,459409,3880
1082,459580,10120
1082,459614,3520
1082,459589,241080
1082,459480,25640
1082,459474,3640
1082,459576,6560
1082,459550,9000
1082,459604,23560
1082,459556,5840
1082,459560,2680
1082,460099,3160
1082,459394,12800
1082,459398,3520
1082,459387,2800
1082,459958,3280
1082,459983,10760
1082,459979,28160
1082,459686,11280
1082,459671,22760
1082,459655,16520
1082,459599,54480
1082,458930,29400
1082,458934,2360
1082,458891,4280
2349,459365,3840
2349,459569,3760
2349,459979,4000
799,459791,4720
799,459127,7840
799,459480,7400
799,459661,5640
1592,459791,15240
1592,459136,5600
1592,459127,600
1592,459580,31120
1592,459661,7040
2376,459791,4960
2376,459580,840
2376,459661,3440
2372,459791,2560
2372,459808,11680
2372,459128,5080
2372,459127,5440
2372,459691,2600
2372,459580,56600
2372,459661,1640
2372,459550,11920
2372,459498,8640
1593,458917,19560
1594,459580,2440
1594,459569,11040
1595,459813,7480
1595,459810,49160
1595,459801,8760
1595,459791,17080
1595,459304,17880
1595,459316,3080
1595,459127,4840
1595,459065,3760
1595,459743,3760
1595,459365,3720
1595,460022,8560
1595,459691,3680
1595,459957,3880
1595,459693,7040
1595,459677,7040
1595,459580,129360
1595,459569,4160
1595,459502,3440
1595,459480,5920
1595,459568,2360
1595,459550,1800
1595,459604,3720
1595,459958,6348
1595,459983,3080
1595,459987,3760
2633,459203,7640
2633,459766,7720
2633,459197,1600
2633,459181,3480
2633,459152,800
2633,459787,3560
2633,459810,7488
2633,459801,222754
2633,458987,8000
2633,459316,46000
2633,459314,79405
2633,460117,720
2633,459313,8240
2633,459133,3800
2633,459127,28440
2633,459040,3720
2633,459054,26040
2633,459735,217632
2633,459741,19588
2633,459723,183987
2633,459329,11892
2633,459270,33992
2633,459322,79961
2633,459347,4360
2633,459677,4120
2633,460033,4240
2633,460011,4200
2633,459691,4280
2633,459992,18904
2633,459957,7040
2633,459688,4120
2633,459677,11480
2633,459231,44575
2633,459429,4280
2633,459431,8120
2633,459580,110040
2633,459569,16840
2633,459502,49520
2633,459503,6240
2633,459474,3080
2633,459661,11120
2633,459576,21280
2633,459596,6800
2633,459604,7080
2633,459525,38000
2633,459958,8040
2633,459967,3600
2633,458964,4080
2633,459961,17880
2633,458948,55485
2633,458930,8480
2633,458938,15160
2633,458914,16776
2499,459791,3920
2499,459316,4440
2499,459313,3360
2499,459122,3680
2499,459127,2400
2499,459007,17040
2499,459755,8000
2499,459333,6480
2499,459693,3280
2499,459414,9492
2499,459580,16080
2499,459470,14480
2499,459503,11120
2499,459480,3480
2499,459474,6880
2499,459661,7000
2499,459576,2600
2499,459550,5560
2499,459604,2040
2499,459521,12984
2499,459599,5240
2499,458891,9080
1596,459200,4120
