O,D,Ton
2377,459474,5000
2377,459661,32960
2377,459576,3760
2377,459596,800
2377,459568,2680
2377,459550,51200
2377,459604,2480
2377,459488,14520
2377,459558,4360
2377,459560,7360
2377,459525,6640
2377,459395,40400
2377,458964,7760
2377,459649,3920
2377,459599,22280
2377,458934,17600
2352,459181,3880
2352,459332,3516
2352,459688,3800
2352,459431,5868
2173,459114,3280
2173,459176,2400
2173,459111,3600
2173,459801,233960
2173,459791,69720
2173,459316,3720
2173,459158,816
2173,459136,53200
2173,459133,3640
2173,459128,57960
2173,459127,39120
2173,459040,12800
2173,459363,3280
2173,459270,3040
2173,460033,3720
2173,460022,507640
2173,459688,22040
2173,459693,7280
2173,458959,1240
2173,459409,3000
2173,459580,1234520
2173,459569,4080
2173,459512,3440
2173,459490,55200
2173,459497,149240
2173,459497,26360
2173,459480,3320
2173,459508,151320
2173,459550,7280
2173,459604,9960
2173,459521,1600
2173,459490,29400
2173,459490,16520
2173,459490,328240
2173,459497,143080
2173,459498,259720
2173,459498,255280
2173,459502,104480
2173,459686,40000
2173,459649,7640
2173,459655,8000
2173,459642,3920
2173,458891,4280
2173,458896,3680
2370,459813,11640
2370,459181,3880
2370,459176,128960
2370,459801,26440
2370,459791,3800
2370,459304,4520
2370,459158,6520
2370,459133,17440
2370,459040,17600
2370,460119,7520
2370,459749,4120
2370,459743,3680
2370,459691,3800
2370,459688,7320
2370,459693,12840
2370,459677,134720
2370,459631,7800
2370,459414,3760
2370,459409,13360
2370,459580,37400
2370,459497,2480
2370,459511,3200
2370,459664,6160
2370,459661,6240
2370,459576,44880
2370,459603,46280
2370,459488,3960
2370,459484,4080
2370,459526,3520
2370,459490,76520
2370,459497,13760
2370,459498,24040
2370,459498,33400
2370,459686,92960
2370,459599,9360
2370,458890,20000
2297,459214,2320
2297,459214,2360
2297,459888,7800
2297,459845,800
2297,459191,3960
2297,459114,9880
2297,459181,10080
2297,459801,54640
2297,459791,21920
2297,458988,5160
2297,459316,17600
2297,459158,55760
2297,459173,2800
2297,459133,25876
2297,459128,77080
2297,459127,9960
2297,459020,7600
2297,459066,55120
2297,459007,3560
2297,459049,25000
2297,459047,4240
2297,459745,15000
2297,459270,7480
2297,459376,3680
2297,459365,3440
2297,459294,3280
2297,460033,3480
2297,459952,3640
2297,460022,83516
2297,458970,3880
2297,459694,19480
2297,459691,3960
2297,459992,62120
2297,459693,3200
2297,459677,4000
2297,459631,15200
2297,459378,3360
2297,459711,1276
2297,459703,6680
2297,459432,12760
2297,459440,21440
2297,459414,5800
2297,459436,5720
2297,459409,13280
2297,459580,601880
2297,459569,27520
2297,459587,800
2297,459512,21600
2297,459470,15800
2297,459503,11640
2297,459589,52680
2297,459490,154880
2297,459497,314360
2297,459497,238720
2297,459480,58320
2297,459500,3280
2297,459508,168240
2297,459471,4000
2297,459661,69640
2297,459576,22920
2297,459550,65920
2297,459604,15280
2297,459545,7720
2297,459488,7680
2297,459556,14760
2297,459484,15640
2297,459560,10440
2297,459521,2840
2297,459522,3360
2297,459525,3160
2297,459526,28920
2297,459490,138160
2297,459490,37480
2297,459490,366200
2297,459497,224320
2297,459498,517840
2297,459498,326240
2297,459502,186120
2297,459392,6720
2297,459260,4680
2297,459971,11120
2297,458964,3880
2297,459671,12200
2297,459998,14040
2297,459961,23120
2297,459644,7920
2297,459649,27440
2297,459658,3800
2297,459655,35080
2297,459599,7560
2297,459626,7320
2297,459541,7880
2297,459635,8200
2297,458933,6912
2297,458930,18560
2297,458891,33640
2297,458896,3960
2632,459176,6400
2632,459801,10200
2632,459783,4560
2632,459127,1800
2632,459688,2960
2632,459693,7320
2632,459677,3000
2632,459580,23160
2632,459569,11680
2632,459589,5360
2632,459664,3280
2632,459661,14600
2632,459526,3520
2632,459490,720
2632,459983,20600
2632,459686,1600
2298,459176,12800
2298,459127,800
2298,459040,1600
2298,459580,27840
2298,459589,3000
2298,459661,520
2298,459490,42080
2298,459497,11520
2298,459498,63720
2298,459498,3560
2298,459686,12800
2631,459845,7640
2631,459853,3640
2631,459832,12284
2631,459176,23600
2631,459787,11520
2631,459810,3960
2631,459801,250296
2631,458988,5040
2631,459316,21516
2631,459314,4200
2631,459313,12276
2631,459188,3960
2631,459158,2800
2631,459160,4080
2631,459127,36960
2631,459066,3080
2631,459065,3920
2631,459049,10560
2631,459749,7520
2631,459745,11720
2631,459755,3840
2631,459270,155370
2631,459344,4000
2631,459351,33800
2631,459333,98276
2631,459332,3360
2631,460036,36596
2631,460033,1620
2631,460011,34780
2631,460022,5760
2631,459691,140912
2631,459992,15648
2631,459688,36640
2631,459677,36360
2631,459631,9960
2631,459711,2800
2631,459408,17520
2631,459419,19272
2631,459414,23720
2631,459436,4000
2631,459409,7280
2631,459418,6920
2631,459580,72296
2631,459569,44872
2631,459502,38620
2631,459512,356692
2631,459470,11440
2631,459503,16480
2631,459497,42840
2631,459508,20000
2631,459471,4000
2631,459664,4840
2631,459661,10240
2631,459576,72644
2631,459550,19360
2631,459604,38880
2631,459558,4000
2631,459484,30280
2631,459526,800
2631,459497,3520
2631,459498,147840
2631,459498,47000
2631,459502,30480
2631,459262,1980
2631,459983,24320
2631,459979,4040
2631,459686,3600
2631,459671,3960
2631,459658,19120
2631,459655,3800
2631,459599,3640
2631,458930,21120
2631,458917,3600
2631,458891,3840
2366,459206,11880
2366,459853,10760
2366,459810,28920
2366,459801,19000
2366,459791,9400
2366,460113,27920
2366,460118,3920
2366,459173,11520
2366,459133,6600
2366,459127,198000
2366,459063,7240
2366,459049,18960
2366,459064,2840
2366,459741,11960
2366,459745,3640
2366,459722,8000
2366,459747,3960
2366,459344,4600
2366,459325,8040
2366,459326,7960
2366,459332,8000
2366,459004,4000
2366,459276,3920
2366,460064,5052
2366,460033,7760
2366,459691,7240
2366,459992,18712
2366,459957,24880
2366,459688,7040
2366,459677,33400
2366,459408,3440
2366,459419,10560
2366,459414,3040
2366,459231,3852
2366,459437,3960
2366,459409,51280
2366,459580,41800
2366,459569,38904
2366,459470,3880
2366,459607,66960
2366,459488,4080
2366,459484,51020
2366,459490,49720
2366,459498,15320
2593,459208,15824
2593,459096,11960
2593,459801,63723
2593,459133,61440
2593,459270,15240
2593,460064,1016289
2593,460026,160306
2593,460006,144888
2593,459705,15712
2593,460108,145380
2593,459413,445335
2593,459474,56048
2593,459576,7360
2593,459484,629378
2593,459983,4040
2593,458937,80340
2299,459801,3440
2299,459363,5680
2299,459004,3560
2299,459691,3520
2299,459550,7800
2299,459599,3000
2299,458930,11000
2344,459791,1440
2344,459661,5120
2390,458861,5280
2345,459845,3640
2345,459832,2600
2345,459176,15560
2345,459801,25960
2345,459791,3840
2345,459304,2800
2345,458988,4160
2345,460118,12760
2345,459066,3600
2345,459078,30800
2345,459049,3560
2345,459009,4000
2345,459741,9120
2345,459270,4764
2345,458970,11880
2345,459694,3680
2345,459992,10440
2345,459957,3840
2345,459414,520
2345,459580,3600
2345,459589,2560
2345,459474,51880
2345,459550,7840
2345,459604,2960
2345,459983,4200
2345,459961,13612
2345,459963,3920
2345,459540,4320
2345,458934,3280
2389,459203,920
2389,459857,2640
2389,459832,7000
2389,459197,12200
2389,459787,4400
2389,459801,105432
2389,459304,4040
2389,458988,5080
2389,460113,3880
2389,459158,10600
2389,459133,3960
2389,459127,15160
2389,459066,6040
2389,459049,32200
2389,459295,3000
2389,459009,3920
2389,459030,920
2389,459745,3880
2389,459326,26920
2389,459347,3600
2389,459332,11200
2389,459004,3880
2389,459276,15560
2389,458970,26840
2389,459694,7040
2389,459691,244680
2389,459992,10240
2389,459693,8320
2389,459677,4360
2389,458959,2072
2389,459703,3960
2389,459409,3960
2389,459411,4080
2389,459580,15160
2389,459569,7000
2389,459502,3600
2389,459480,4000
2389,460090,7480
2389,459459,7840
2389,459475,17976
2389,459661,22640
2389,459576,14200
2389,459596,20920
2389,459550,43600
2389,459484,4320
2389,459491,8720
2389,459521,6800
2389,459398,4360
2389,459396,4280
2389,459260,7680
2389,460045,3400
2389,459978,39080
2389,459958,20560
2389,459967,3400
2389,459983,3680
2389,458964,3320
2389,459671,10920
2389,459987,4400
2389,459659,29040
2389,459655,19640
2389,459599,4000
2389,459540,4360
2389,458948,3760
2389,458891,15360
2389,458908,3280
2389,458914,8760
2389,458890,16720
2634,459691,3120
2634,459580,10960
2634,459512,3880
2346,459693,4360
2346,459569,3520
2592,459200,3560
2592,459853,7360
2592,459791,5400
2592,459316,31760
2592,459020,3520
2592,459740,3096
2592,459365,20160
2592,458970,4000
2592,459691,3800
2592,459631,7320
2592,459580,5080
2592,459958,3960
2592,459983,3760
2592,459979,3760
2592,458964,7040
2367,459214,7920
2367,459851,3920
2367,459191,16040
2367,459181,7976
2367,459801,57684
2367,459791,8240
2367,459316,51348
2367,460118,7880
2367,459313,3840
2367,459133,6800
2367,459009,42180
2367,459741,7840
2367,459745,15960
2367,459354,23600
2367,459270,6516
2367,459325,19400
2367,459326,4080
2367,459694,3760
2367,459688,18360
2367,459419,20660
2367,459431,29520
2367,459436,7680
2367,459409,23320
2367,459502,3640
2367,459488,11840
2367,459484,16720
2367,458930,84984
2367,458934,4000
458973,2051,4440
459945,2051,4860
459945,2389,5856
458973,2389,4320
458973,459197,3960
458973,459127,4440
459946,459813,31764
458976,2389,3948
459225,2635,29360
459225,2592,10680
459943,1488,10800
459943,1489,7400
459943,1086,31560
459943,2579,3880
459943,2392,2480
459943,1595,3600
459943,2170,5000
459943,2366,4120
459943,2397,3760
459948,2631,1308
459948,459127,408
459208,2051,73448
459208,2635,13488
459214,1086,3720
459214,2392,3720
459214,2370,3200
459214,2632,3920
459214,1489,3920
459214,1086,4440
459214,2392,7840
459214,2592,14080
459211,1488,15040
459211,1086,27560
459211,2399,3320
459211,2049,3880
459211,2635,28880
459211,2170,3120
459211,2370,10040
459211,2297,3120
459211,2592,18160
459211,458930,2400
459214,1489,800
459920,1086,3040
459920,2372,3040
459920,1594,3040
459920,1595,3040
459920,2350,3040
459920,2049,3040
459920,2370,3040
459931,2350,3720
459933,1488,3840
459933,1489,3360
459933,2368,6520
459933,1086,14160
459933,2394,10000
459933,2399,6760
459933,2170,6720
459933,2631,7080
459212,2368,4640
459212,2051,2000
459082,1082,2600
459891,458930,3840
459889,1488,3000
459889,2170,6000
459889,2173,6000
459207,1086,7840
459203,2592,6640
459878,1489,3920
459878,1086,28600
459878,2637,11560
459878,2635,33380
459878,2170,3560
459878,2370,3400
459878,2631,3800
459878,2366,4120
459878,2592,6800
459766,1487,2800
459766,1086,3920
459766,2399,3560
459766,2370,3720
459766,2297,3680
459766,2632,7200
459857,2297,3360
459199,1487,8320
459199,1490,2840
459199,1497,5480
459199,1086,3520
459199,2388,2800
459199,2392,2760
459199,2591,14040
459199,2589,2840
459199,1598,8400
459199,2580,19560
459199,2598,5680
459199,2597,70800
459199,2594,12640
459199,2298,2800
459200,2373,6000
459200,1594,3920
459200,1597,8000
459200,460026,3920
459769,459430,76960
459769,459686,8000
459845,2297,3920
459845,2632,2360
459845,2631,5120
459845,459787,6690
459813,1488,3760
459813,1489,3400
459813,2633,3360
459813,2396,3840
459813,2599,3440
459813,2350,3400
459813,2050,2200
459813,2596,7160
459813,2370,12280
459813,2389,8976
459813,2367,2920
459813,459946,1320
459813,459176,11520
459811,1591,2960
459811,1086,12920
459811,2392,1600
459811,2369,15160
459811,1595,5800
459811,1597,9760
459811,2598,28960
459811,2594,3000
459811,2377,12120
459811,2297,35760
459811,2631,18440
459811,2592,3000
459811,459801,2920
459811,460044,2840
459776,1489,1880
459776,2366,1880
459853,2348,5040
459853,459888,2560
459853,459260,2520
459832,1487,7840
459832,2368,920
459832,1082,2800
459832,2370,2000
459832,2632,9360
459832,2366,3960
459832,459176,5720
459832,459179,3120
459832,459173,8400
459832,459004,19560
459832,459276,3960
459832,459661,3160
459197,2388,3560
459197,1596,2400
459197,1899,5680
459197,2597,62120
459197,2636,9240
459197,2173,9600
459197,2631,47280
459197,2592,3760
459197,459580,6288
459828,1594,3920
459828,2396,7600
459181,1085,2720
459181,799,5440
459181,1592,10880
459181,1597,5440
459181,2052,2720
459181,2299,2720
459162,2051,214640
459176,1488,3200
459176,1487,2480
459176,1490,800
459176,1489,2400
459176,2368,6960
459176,1086,20720
459176,2371,3200
459176,2369,6400
459176,1496,800
459176,1596,1600
459176,2348,4960
459176,1597,2720
459176,2350,800
459176,2384,2720
459176,2049,800
459176,2635,15160
459176,2053,3800
459176,2173,4800
459176,2297,79560
459176,2298,800
459176,2366,10960
459176,2389,3200
459176,459813,28616
459176,459832,5640
459176,459173,3000
459176,459414,1040
459176,459512,6920
459176,458930,2480
459111,1491,2720
459111,2590,10320
459111,1085,2560
459111,799,2720
459111,1592,76160
459111,1595,8160
459111,1597,40120
459111,1598,2720
459111,2373,5280
459111,1898,2760
459111,2052,2720
459111,2053,5240
459111,2299,8160
459111,2344,2720
459112,799,2520
458981,1488,4400
458981,1596,4480
459787,458934,15576
459810,1488,5280
459810,1491,7280
459810,1084,16680
459810,2590,7040
459810,1085,7240
459810,2368,3840
459810,1086,47040
459810,2392,3880
459810,1592,5600
459810,1596,6920
459810,1597,7440
459810,1598,13240
459810,2594,6480
459810,2170,42640
459810,2173,30000
459810,2298,5240
459810,2391,17960
459801,1589,5320
459801,1488,7560
459801,1489,6240
459801,1087,7520
459801,1497,2840
459801,1491,2880
459801,2590,5840
459801,1085,188480
459801,2368,3800
459801,1086,1279160
459801,2392,3920
459801,2369,178560
459801,2589,67640
459801,799,8480
459801,1592,13400
459801,1595,3120
459801,1596,26400
459801,2385,12000
459801,2599,3960
459801,2399,3920
459801,2348,12520
459801,2393,5720
459801,1597,14000
459801,2350,4080
459801,1899,5240
459801,2597,5240
459801,2051,11160
459801,2635,1200
459801,2594,10240
459801,2170,65680
459801,2173,333800
459801,2297,48520
459801,2631,3560
459801,2366,4080
459801,2345,4584
459801,2389,24452
459801,459888,11520
459801,459813,4000
459801,459811,6160
459801,459112,3680
459801,459810,800
459801,459297,4080
459801,459314,8040
459801,459133,2960
459801,459064,6120
459801,459040,3880
459801,459270,27800
459801,459267,9760
459801,459332,11720
459801,459328,36984
459801,459004,3920
459801,460024,30000
459801,459569,2160
459801,459661,11280
459801,459576,51640
459801,459604,11640
459801,459484,1640
459801,458933,3120
459801,458934,7680
458992,1085,3760
458992,2369,5040
458992,1596,3160
458992,1597,7360
458992,2597,7480
458992,2173,11160
459774,1497,3000
459774,1491,2960
459774,1592,3360
459774,1595,3280
459774,2393,6560
459774,1597,13280
459774,1598,6640
459774,2373,13280
459774,2053,2960
459774,2594,2960
459791,1488,11440
459791,1487,11840
459791,1490,76400
459791,1497,8080
459791,1491,26680
459791,1492,1680
459791,1084,38280
459791,2590,3600
459791,1085,30080
459791,2630,840
459791,1086,928160
459791,2371,61200
459791,2579,5280
459791,1495,11800
459791,1082,126160
459791,799,59560
459791,1592,24760
459791,2376,7400
459791,2372,4760
459791,1596,59240
459791,2599,4680
459791,2348,3920
459791,1597,105160
459791,2375,1600
459791,2398,24320
459791,2373,8480
459791,1599,35440
459791,2598,2400
459791,2047,15000
459791,2048,8440
459791,2597,6800
459791,2052,26520
459791,2053,800
459791,2594,38240
459791,2170,36840
459791,2173,189920
459791,2297,37600
459791,2298,12960
459791,2366,8040
459791,2344,10000
459791,459147,3720
459791,459589,720
459304,1591,9200
459304,1084,3400
459304,2579,17320
459304,2594,2880
459304,2173,6120
459304,459703,3600
458987,1497,16000
458987,2599,4480
458987,2597,6400
458987,2594,4600
458987,2636,34680
458987,2173,12560
458987,459176,2840
458988,2173,4080
459315,2052,2520
459315,2592,14200
459316,1589,3240
459316,1489,3840
459316,1497,3080
459316,2590,6360
459316,1085,23640
459316,2630,3720
459316,1086,12680
459316,2579,6280
459316,2392,2760
459316,2369,6400
459316,1495,2400
459316,1592,9840
459316,2376,3600
459316,2633,5240
459316,2396,7000
459316,2399,3280
459316,1597,10520
459316,2375,3840
459316,2398,3920
459316,2384,11000
459316,2580,26080
459316,1599,3320
459316,2598,3360
459316,2597,5400
459316,2635,9720
459316,2053,3880
459316,2594,30400
459316,2170,3720
459316,2636,6520
459316,2173,9520
459316,2370,6080
459316,2297,3320
459316,2631,5280
459316,2391,15320
459316,2345,6480
459316,2592,59440
459316,459791,920
460118,1491,3680
460118,1492,13640
460118,1085,3040
460118,1086,60160
460118,2579,3880
460118,2591,16600
460118,1592,3240
460118,1595,2240
460118,1597,7320
460118,2375,3840
460118,2384,3640
460118,1898,9960
460118,2598,3840
460118,2170,6400
460118,2173,16000
460118,2370,2120
459316,1589,69680
459316,1489,5840
459316,2590,44560
459316,1085,3000
459316,1086,139880
459316,2369,93960
459316,1597,35360
459316,1598,9080
459316,2594,181920
459316,2173,72680
459314,1592,18720
459314,2632,3000
459314,2592,21840
459297,2590,5080
459297,2173,2480
459297,2592,2240
460117,2370,3560
459318,2596,18720
459158,1488,9800
459158,1489,23160
459158,1087,3640
459158,1086,33080
459158,2371,46120
459158,1082,3400
459158,1596,2800
459158,2051,26200
459158,2297,2480
459158,2366,41240
459158,2593,6756
459158,2389,41080
459158,459197,3200
459158,459133,2600
459158,459358,3200
459158,459693,299320
459158,459711,9440
459158,459436,10880
459158,459409,26600
459158,460090,3800
459158,459550,7440
459158,458933,3200
459184,2368,7760
459184,2367,11640
459165,2589,11232
459179,1591,3640
459179,1488,11800
459179,1487,5920
459179,2348,14360
459179,2297,48160
459179,2366,2880
459179,2345,9080
459179,459832,6040
459179,459801,9040
459179,459414,11600
459179,459503,3000
459179,458891,2124
459168,2389,3200
459168,459358,3200
459168,460070,6240
459173,1488,11200
459173,1487,58800
459173,1082,5600
459173,2350,24160
459173,2051,8080
459173,2297,2800
459173,2366,30160
459173,2345,8400
459173,2389,6800
459173,459832,16800
459173,459745,3800
459173,458959,184320
459173,459502,3200
459173,459512,5600
459173,459480,4000
459147,1086,43720
459147,1596,21200
459147,2051,2600
459147,2346,7600
459147,459576,4000
459149,2633,800
459149,459176,3000
459149,459414,3000
459150,2051,5960
459150,2366,15000
459150,459832,1600
459150,459176,3000
459150,459179,24000
459150,459173,9000
459150,459133,6000
459150,459412,18000
459150,459414,15000
459136,1497,10960
459136,1085,1200
459136,1086,87040
459136,2369,16640
459136,799,10400
459136,1592,20560
459136,2376,3200
459136,1597,21840
459136,2350,30160
459136,2052,7200
459136,2594,1200
459136,2173,64560
459133,1589,14400
459133,1590,3720
459133,1488,56416
459133,1487,3800
459133,1489,23200
459133,1497,6840
459133,1491,4000
459133,1084,5920
459133,1086,75992
459133,2392,11440
459133,2369,6400
459133,2591,3200
459133,1496,3320
459133,1595,11920
459133,2633,920
459133,1596,5760
459133,2385,3680
459133,2399,3840
459133,2348,2220
459133,1597,3040
459133,2350,9080
459133,2047,9400
459133,2597,12800
459133,2050,37416
459133,2635,9000
459133,2053,3800
459133,2168,25920
459133,2377,6480
459133,2173,11240
459133,2297,18000
459133,2631,3120
459133,2366,15040
459133,2345,3600
459133,2389,10240
459133,2592,12640
459133,459214,2480
459133,460033,4960
459133,459693,3880
459133,459412,5000
459133,459414,6300
459133,459512,3320
459133,459556,800
459133,459521,70428
459133,459649,3720
459133,459599,800
459133,458891,2848
459122,1086,3384
459122,2579,3480
459122,2595,3520
459122,2347,11440
459122,2597,3800
459122,2346,3240
459128,1085,920
459128,1086,56640
459128,2369,12120
459128,2170,7800
459128,2173,800
459128,2370,120
459128,2297,62520
459127,1490,27520
459127,1489,149960
459127,1497,1600
459127,1491,8800
459127,1084,10960
459127,1085,6080
459127,2630,1280
459127,1086,129600
459127,2371,19040
459127,2579,1600
459127,1083,440
459127,2392,9280
459127,799,5520
459127,1592,6040
459127,2372,1520
459127,1595,3920
459127,1596,13400
459127,1597,17920
459127,2373,520
459127,1599,10720
459127,2598,1200
459127,2047,1680
459127,2048,160
459127,2051,21400
459127,2052,3200
459127,2594,3520
459127,2168,800
459127,2170,30520
459127,2171,840
459127,2173,5440
459127,2370,2520
459127,2297,45320
459127,2632,4280
459127,2298,20520
459127,2631,7360
459127,2366,279160
459127,2344,2200
459127,2345,55480
459127,2389,12840
459127,2367,3960
459127,459057,3660
459127,459490,7560
458978,2368,1440
458978,2298,3960
458978,2366,440
459020,2635,5600
459008,2394,7720
459008,2389,4080
459008,459214,27120
459008,459214,800
459065,1087,3600
459065,1086,13600
459065,1595,2400
459065,1596,8800
459065,2050,2560
459065,2051,3680
459065,2632,10400
459065,459992,3720
459062,459208,1980
459064,1488,22480
459064,1084,4280
459064,2368,7840
459064,1086,2760
459064,1082,11560
459064,1595,3120
459064,2599,15800
459064,2373,10240
459064,2047,7600
459064,2050,12440
459064,2051,11480
459064,2635,6680
459064,2631,1800
459064,2366,920
459064,2389,15600
459064,459409,4000
459064,459576,6600
459064,459560,7120
459047,1490,4000
459047,1489,800
459047,1086,31200
459047,2371,6400
459047,2369,4800
459047,1082,11200
459047,2051,3200
459047,2297,13600
459047,2366,800
459049,2370,2640
459049,2632,15680
458990,2368,4800
458990,2635,4000
458990,2370,7160
458990,2593,96700
459040,2369,800
459040,1595,800
459040,2385,800
459040,2171,800
459040,2366,800
459040,2345,800
459057,1087,800
459057,2372,3560
459057,2297,3480
459057,2366,2400
459005,460026,5334
459030,1596,2360
459030,2373,680
459030,2047,2360
459741,2633,7120
459741,2632,3000
459741,2631,3000
459741,2592,5040
459741,459569,4320
459759,2173,2400
459759,458992,1800
459743,2633,1160
459743,2048,760
459743,2594,3280
459743,2171,2720
459743,2297,840
459743,2632,30000
459743,2631,3000
459743,2592,1560
459724,2370,6000
459723,2371,3960
459354,2590,2720
459354,2051,2600
459354,2635,12000
459270,1086,488980
459270,2392,10428
459270,1594,3880
459270,2396,70280
459270,1597,400
459270,2051,11200
459270,2370,7360
459270,2632,6960
459270,2631,7960
459270,459127,28800
459270,459741,3760
459270,459345,7720
459270,459328,6400
459270,459580,15948
459376,2396,5400
459376,2594,7600
459742,2298,4800
459340,1594,3880
459340,2594,3840
459345,1085,2280
459345,1086,3840
459345,2173,3040
459341,1591,8440
459341,1084,3520
459341,2579,7800
459341,2173,3560
459341,2631,5528
459326,2597,2360
459326,2594,11600
459326,2636,35560
459326,2173,29240
459326,2370,3680
459358,1492,3640
459358,1085,3360
459358,1086,21800
459358,2388,3320
459358,799,3680
459358,2372,3640
459358,2385,6440
459358,1597,2880
459358,1889,7280
459358,2047,3720
459358,2597,3040
459358,2594,6520
459358,2173,13680
459358,2298,2640
459331,1086,5920
459331,1083,55000
459331,2388,2960
459331,2392,21280
459331,1592,12000
459331,2597,21240
459331,2636,3000
459331,2592,5960
459322,459735,4464
459365,2173,2560
459351,1490,3040
459267,2370,3160
459309,2597,7160
459309,2173,1800
459310,1487,2520
459310,1490,1520
459310,1085,8400
459310,1086,14600
459310,1083,10600
459310,2388,5720
459310,2392,10240
459310,2394,14040
459310,2591,55160
459310,2589,43600
459310,1498,2800
459310,1593,17200
459310,2396,5040
459310,1597,2520
459310,1598,40400
459310,2580,29840
459310,2598,7720
459310,2597,14080
459310,2594,13800
459310,2169,11840
459310,2636,5720
459310,2173,5160
459310,2366,3000
459310,2593,15240
459310,2592,3600
459290,459304,17624
459290,459017,241880
459290,459057,151964
459290,459073,12132
459290,459009,531860
459294,1489,3600
459294,1084,3600
459294,1085,10880
459294,1086,6680
459294,1592,7320
459294,1596,3040
459294,2385,3640
459294,1597,3600
459294,2373,3040
459294,2298,3560
459294,2391,3600
459337,459580,3400
459330,1591,14160
459330,2579,3360
459330,2396,3560
459330,2594,3560
459330,2173,3560
459330,2632,3520
459332,1497,3840
459332,1085,8360
459332,2579,11800
459332,2388,3000
459332,2396,3040
459332,2636,3040
459332,2173,12960
459332,459314,23254
459328,1497,6080
459328,1083,11000
459328,2388,3800
459328,2051,4360
459328,2297,7680
459328,2592,800
459328,459336,4040
459004,459576,6720
459284,459512,612192
460064,1084,17760
460064,2590,8800
460064,2386,4360
460064,1086,8160
460064,1082,8680
460064,2350,3600
460064,2051,11760
460064,2173,22120
460064,2370,109508
460064,459791,22120
460064,459345,48720
460064,459484,270999
460064,458930,3960
458957,1488,11680
458957,2386,3760
458957,2371,3920
458957,1596,15720
458957,2385,25760
458957,2370,68320
458957,2366,8680
458957,459484,84988
460036,1591,11004
460036,2630,4545
460036,2394,2787
460036,2591,4494
460036,2631,45988
460036,2345,27184
460041,2385,11800
460033,1487,8384
460033,2392,11748
460033,2347,920
460033,2377,25884
460033,2593,920
460033,458959,1240
460033,459431,12400
460033,459480,920
460046,2599,3840
460046,2351,7640
460046,2352,3840
460046,2389,19120
460046,459801,7720
459953,1488,53920
459953,2366,4400
459953,459832,4880
459953,459801,74320
460026,1488,169296
460026,1086,3468
460026,459811,290508
460026,459133,177456
460026,459065,10848
460026,459009,66112
460026,458934,52184
460024,459801,3960
460006,2637,800
460006,2173,3880
460006,2344,3720
460006,459801,11480
460006,459316,65960
460006,459326,8840
460011,459801,11608
460022,1086,1415960
460022,2369,247760
460022,1595,3840
460022,1596,162080
460022,2385,1840
460022,2049,920
460022,2171,2760
460022,2173,508120
460022,2297,920
460022,459314,4200
459694,1489,7640
459694,2388,10680
459694,2394,2680
459694,2385,3960
459694,1597,3760
459694,2345,14920
459694,459568,2960
459694,459550,3040
459691,1589,14400
459691,1490,1600
459691,2051,3200
459691,2594,4080
459691,2173,11680
459691,2297,11840
459691,2631,3880
459691,2389,31760
459992,1487,920
459992,2347,19600
459992,2051,26040
459992,2345,6720
459992,459176,3680
459992,460006,960
459992,460022,14360
459992,459694,3520
459992,459691,17880
459992,459631,4000
459992,459718,920
459992,458959,40488
459992,459569,3880
459992,460084,3360
459992,459512,3200
459992,459480,3320
459992,459474,3600
459992,459471,3760
459992,459661,27240
459992,459596,3320
459992,459533,27000
459992,459484,1840
459992,459491,2240
459992,459526,15640
459992,459983,3160
459992,459644,4000
459992,458891,1440
459992,458890,3840
459957,2297,3840
459688,2385,920
459688,459703,3920
459693,1591,5840
459693,1488,86148
459693,1489,23600
459693,1087,18408
459693,1086,6680
459693,2369,3760
459693,2394,22440
459693,1082,23920
459693,1595,29460
459693,2499,14316
459693,1596,7640
459693,2399,4080
459693,2350,9756
459693,2637,16512
459693,2051,31812
459693,2173,43116
459693,2297,130996
459693,2631,4500
459693,2366,13800
459693,2593,37580
459693,2389,7360
459693,459801,13720
459693,459158,3444
459693,459743,3720
459677,1488,2320
459677,2385,9920
459677,2594,2560
459677,2173,3040
459677,2298,3040
459677,459304,49160
459677,459295,16720
459677,459580,4400
459677,459550,2720
459677,458934,2760
459705,1488,71292
458959,1591,8760
458959,1487,8440
458959,2590,8800
458959,1085,26320
458959,2386,8720
458959,1086,90320
458959,2579,8760
458959,1083,11880
458959,2369,17520
458959,2394,15720
458959,2589,4400
458959,2633,3920
458959,1599,8880
458959,2598,26480
458959,2047,4280
458959,2597,25160
458959,2387,4440
458959,2377,18980
458959,2352,7800
458959,2173,21320
458959,2370,20200
458959,2297,25440
458959,2631,55920
458959,460033,14132
458959,459502,292356
458959,458891,11960
459703,1089,7720
459703,1495,920
459703,2297,920
459703,459049,19400
460108,2368,14960
460108,2347,136652
460108,459801,153556
460108,459992,172092
459425,1497,7080
459425,2386,3520
459425,1083,3560
459425,2388,3720
459425,2591,7160
459425,2589,7880
459425,2499,23080
459425,1597,7120
459425,2051,3360
459425,2169,7000
459425,2173,3840
459425,2297,22000
459425,2298,3560
459425,2631,7120
459425,2389,3520
459440,2297,4080
459440,459409,520
459430,1489,37480
459430,2051,3600
459430,2173,15840
459430,2366,3880
459430,2345,29160
459412,1487,2480
459412,2051,3564
459412,2635,2520
459412,2366,8640
459412,2389,5136
459412,459214,2520
459412,459214,2560
459412,459214,2480
459412,459888,2640
459412,459181,5200
459412,459179,50804
459412,459173,5840
